scholar_id,scholar_full_name,email,year_level,missing_cog_count
1,"Labis, InesA",il8237@gmail.com,4,3
5,"Malabed, Sancho Kael",skm1926@gmail.com,3,2
6,"Tabalanza, Jovita",jt8342@gmail.com,4,3
7,"Saclolo, Lou Odette",los4556@gmail.com,4,3
8,"Calicdan, Kanoy",kc3625@gmail.com,3,2
10,"Tabag, Eva Lydia",elt1279@gmail.com,2,1
14,"Pasaoa, Cipriano Restituto",crp2278@gmail.com,3,1
17,"Apanay, Jocelyn",ja4850@gmail.com,2,1
18,"Ligon, Alex Ainsley",aal9957@gmail.com,4,3
19,"Dayrit, Lovely",ld2815@gmail.com,4,1
26,"Quinoy, Francisco",fq3213@gmail.com,4,3
27,"Maninay, Vicky",vm7959@gmail.com,3,1
29,"Lamanilao, Luz",ll8454@gmail.com,4,1
33,"Bagalayos, Lilliane",lb2617@gmail.com,4,2
35,"Bayag, Adolfo",ab6885@gmail.com,3,1
41,"Cambay, Clara",cc5968@gmail.com,3,2
43,"Gonowon, Braulio Raquel",brg7406@gmail.com,4,1
45,"Tanga, Jovito",jt5318@gmail.com,3,1
46,"Payuyao, Faith",fp9930@gmail.com,3,1
48,"Gonowon, Ferdinand",fg4851@gmail.com,4,1
50,"Gampon, Clara Gonzalo",cgg6912@gmail.com,4,2
52,"Maglalang, Rogelio",rm3171@gmail.com,2,1
53,"Manipula, Lester",lm2441@gmail.com,2,1
55,"Lugtu, Felicity Kyle",fkl2528@gmail.com,3,1
56,"Capoy, Selma Donna",sdc5317@gmail.com,2,1
59,"Calinao, Rommel Tadeo",rtc7393@gmail.com,2,1
64,"Halina, Veronica Margaret",vmh9455@gmail.com,2,1
67,"Barlaan, Melvin",mb3193@gmail.com,4,2
69,"Dimaampao, Enrique Melanie",emd5394@gmail.com,4,3
71,"Amosin, Eurydice",ea6774@gmail.com,4,3
72,"Pila, Ronnie",rp4080@gmail.com,4,3
73,"Galos, Victor",vg5730@gmail.com,3,1
74,"Manalaysay, Rolando",rm1765@gmail.com,3,1
75,"Liwanag, Jacqueline",jl5004@gmail.com,3,1
76,"Salunga, Andrew Marjorie",ams3011@gmail.com,4,3
77,"Salapantan, Evangelina Roger",ers1898@gmail.com,3,2
78,"Manliclic, Esther",em9736@gmail.com,4,3
80,"Kasama, Giovanni",gk4239@gmail.com,4,3
83,"Gumihid, Pepe",pg8002@gmail.com,2,1
85,"Jacang, Jervis",jj7344@gmail.com,3,1
